[    12.986875] S 68a 06a P  | DIG1 seg=0x06 '1'
[    12.987153] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    12.987427] S P  | MALFORMED: 0 byte(s), expected 2
[    12.987447] S 6Ca 5Ba P  | DIG3 seg=0x5B '2'
[    12.987726] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    12.988006] S 4Fa 17a P  | KEY released/idle
[    13.186622] S 68a 06a P  | DIG1 seg=0x06 '1'
[    13.186900] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    13.187193] S 6Ca 5Ba P  | DIG3 seg=0x5B '2'
[    13.187472] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    13.187750] S 4Fa 17a P  | KEY released/idle
[    13.386356] S 68a 06a P  | DIG1 seg=0x06 '1'
[    13.386649] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    13.386926] S 6Ca 5Ba P  | DIG3 seg=0x5B '2'
[    13.387206] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    13.387499] S 4Fa 17a P  | KEY released/idle
[    13.586139] S 68a 06a P  | DIG1 seg=0x06 '1'
[    13.586432] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    13.586712] S 6Ca 06a P  | DIG3 seg=0x06 '1'
[    13.586712] >>> DISPLAY: "111 "
[    13.586991] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    13.587284] S 4Fa 17a P  | KEY released/idle
[    13.785859] S 68a 06a P  | DIG1 seg=0x06 '1'
[    13.786136] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    13.786431] S 6Ca 06a P  | DIG3 seg=0x06 '1'
[    13.786711] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    13.786989] S 4Fa 17a P  | KEY released/idle
[    13.985621] S 68a 06a P  | DIG1 seg=0x06 '1'
[    13.985912] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    13.986192] S 6Ca 06a P  | DIG3 seg=0x06 '1'
[    13.986468] S P  | MALFORMED: 0 byte(s), expected 2
[    13.986486] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    13.986764] S 4Fa 17a P  | KEY released/idle
[    14.185415] S 68a 06a P  | DIG1 seg=0x06 '1'
